id,name,url,ingredients
1,baked blueberry and banana oatmeal,https://food-guide.canada.ca/en/recipes/baked-blueberry-banana-oatmeal/,"[""en:banana"",""en:skim-milk"", ""en:eggs"", ""en:vanilla"", ""en:vegetable-oil"", ""en:rolled-oats"", ""en:cinnamon"", ""en:baking-powder"", ""en:frozen-blueberries""]"
2,mushroom soup,https://food-guide.canada.ca/en/recipes/mushroom-soup/,"[""en:white-mushrooms"", ""en:cremini-mushrooms"", ""en:vegetable-oil"", ""en:onion"", ""en:garlic"", ""en:wheat-flour"", ""en:milk"", ""en:vegetable-broth"", ""en:thyme"", ""en:chives""]"
3,sweet and sour grapes,https://food-guide.canada.ca/en/recipes/sweet-sour-grapes/,"[""en:grapes"", ""en:lemon-juice""]"
4,baked fish and chips,https://food-guide.canada.ca/en/recipes/baked-fish-chips/,"[""en:sweet-potato"",""en:parsnips"",""en:vegetable-oil"",""en:chili-powder""]"
5,fruit leathers,https://food-guide.canada.ca/en/recipes/fruit-leathers/,"[""en:frozen-berries"",""en:lemon-juice"", ""en:maple-syrup""]"
6,corn cakes with tomato jam,https://food-guide.canada.ca/en/recipes/corn-cakes-tomato-jam/,"[""en:egg"", ""en:milk"", ""en:corn"", ""en:wheat-flour"", ""en:cornmeal"", ""en:baking-powder"", ""en:salt"", ""en:pepper"", ""en:canola-oil""]"
7,tofu pasta primavera,https://food-guide.canada.ca/en/recipes/tofu-pasta-primavera/,"[""en:wheat-penne-pasta"", ""en:vegetable-oil"", ""en:tomatoes"",""en:garlic"",""en:onion"",""en:tofu"", ""en:dried-basil"",""en:salt"",""en:lower-sodium-vegetable-broth"",""en:frozen-vegetables"", ""en:grated-parmesan-cheese""]"
8,curry chicken with lettuce wraps,https://food-guide.canada.ca/en/recipes/curry-chicken-lettuce-wraps/,"[""en:cooked-chicken-breast"",""en:e lery"", ""en:dried-cranberries"", ""en:silvered-almonds"", ""en:lemon-juice"",""en:mild-curry-powder"", ""en:mild-curry-powder"", ""en:light-mayonnaise"", ""en:garlic-powder"", ""en:lettuce-leaves""]"
9,yougurt bark with berries,https://food-guide.canada.ca/en/recipes/yogurt-bark-berries/,"[""en:lower-fat-plain-yogurt"", ""en:maple-syrup"",""en:vanilla-extract"",""en:lemon-juice"", ""en:berries""]"
10,sweet potato curry,https://food-guide.canada.ca/en/recipes/sweet-potato-curry/,"[""en:vegetable-oil"", ""en:black-mustard-seeds"", ""en:dried-red-chillies"", ""en:dried-curry-leaves"",""en:onion"", ""en:garlic"", ""en:sweet-potatoes"",""en:coriander"", ""en:salt""]"
11,chocolate berry overnight oats,https://food-guide.canada.ca/en/recipes/chocolate-berry-overnight-oats/,"[""en:rolled-oats"", ""en:skim-milk"", ""en: plain-greek-yogurt"",""en:ripe-banana"", ""en:maple-syrup"",""en:cocoa-powder"",""en:frozen-raspberries""]"
12,black bean and corn salad,https://food-guide.canada.ca/en/recipes/black-bean-corn-salad/,"[""en:black-beans"", ""en:corn-kernels"", ""en:tomatoes"", ""en:red-bell-pepper"", ""en:cilantro"", ""en:cooked-chicken""]"
13,braised lentils with greens,https://food-guide.canada.ca/en/recipes/braised-lentils-greens/,"[""en:green-lentils"",""en:olive-oil"", ""en:garlic"", ""en:swiss-chard"", ""en:cilantro"", ""en:lemon-juice"", ""en:pomegranate"",""en:salt"", ""en:pepper""]"
14,kale and chickpea curry,https://food-guide.canada.ca/en/recipes/kale-chickpea-curry/,"[""en:vegetable-oil"", ""en:green-chili"",""en:garlic"", ""en:cumin-seeds"", ""en:onion"", ""en:kale"", ""en:ground-coriander"", ""en:turmeric-powder"", ""en:cayenne-powder"", ""en:chickpeas"", ""en:light- coconut-milk"", ""en:salt""]"
15,fried wild rice,https://food-guide.canada.ca/en/recipes/fried-wild-rice/,"[""en:uncooked-wild-rice"", ""en:sunflower-oil"", ""en:wild-ginger"", ""en:wild-garlic"", ""en:ramps"", ""en:sweet-corn-kernels"", ""en:dried-cranberries"", ""en:soy-sauce"", ""en:salt"", ""en:pepper""]"
16,cornbread,https://food-guide.canada.ca/en/recipes/cornbread/,"[""en:light-sour-cream"", ""en:lower-fat-milk"", ""en:sunflower-oil"", ""en:eggs"", ""en:whole-wheat-flour"", ""en:cornmeal"", ""en:granulated-sugar"", ""en:baking-powder"", ""en:salt""]"
17,blueberry cornmeal muffins,https://food-guide.canada.ca/en/recipes/blueberry-cornmeal-muffins/,"[""en:whole-milk"", ""en:lemon-juice"", ""en:wheat-flour"", ""en:yellow-cornmeal"", ""en:sugar"", ""en:baking-powder"", ""en:salt"", ""en:frozen-blueberries"", ""en:eggs"", ""en:vanilla-extract"", ""en:sour-cream"", ""en:lemon-zest"", ""en:sunflower-oil""]"
18,curried lentil and spinach fritters,https://food-guide.canada.ca/en/recipes/curried-lentil-spinach-fritters/,"[""en:red-split-lentils"", ""en:spinach"", ""en:curry-powder"", ""en:black-pepper"", ""en:onion-powder"", ""en:garlic-powder"", ""en:baking-soda"", ""en:yogurt"", ""en:wheat-flour"", ""en:vegetable-oil""]"
19,corn and lentil soup,https://food-guide.canada.ca/en/recipes/corn-lentil-soup/,"[""en:red-split-lentils"", ""en:vegetable-oil"", ""en:onions"", ""en:garlic"", ""turmeric"", ""en:salt"", ""en:black-pepper"", ""en:vegetable-broth"", ""en:water"", ""en:chopped-ginger"", ""en:frozen-corn""]"
20,berry brunch cake,https://food-guide.canada.ca/en/recipes/berry-brunch-bake/,"[""en:wheat-flour"", ""en:all-purpose-flour"", ""en:lower-fat-milk"", ""en:eggs"", ""en:vanilla-extract"", ""en:honey"", ""en:margarine"",""en:vegetable-oil"", ""en:frozen-berries"", ""en:almonds""]"
